bins,Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA
128,2022-02-25 17:40:01.000000000,128.5093129439475,3.3527824560176915,0.02438295274298707,426.5503758553275,659.4888942424243,0.007707781202434968,232.93851838709676,658.4409847323616,0.061994430859431494,2.2247168321214033,2.2247168321214033,3.5884572259420886,933.6736206149418,578.8645645623621,46.774296202068356,84.23874922287222,426.5503758553275,-78.36489673416555,-70.957955198184,488.4404592122318,0.8752386845151863
129,2022-02-25 17:59:17.720000000,129.48649661613257,3.5439428596768554,0.02891076280515567,422.527363378355,646.6602609367966,0.00874574254682837,224.13289755844156,655.1972391103449,0.062075717631309424,2.301652898319544,2.301652898319544,3.826583510540963,993.0319556768713,597.2983498919541,23.641972574648733,58.547928655854946,422.527363378355,-62.48007683127532,-49.92896777879481,471.19268748025564,0.897392253951978
130,2022-02-25 18:19:33.285714176,130.5107129823854,3.9301029122578144,0.03572676986993313,425.99645128710574,632.334593961039,0.009488106340732475,206.3381426739332,658.2160451315052,0.062173531243033486,2.3772747744631637,2.3772747744631637,3.952930009870035,1022.6118900415703,614.9774110169235,76.82577810339667,51.65939336529768,425.99645128710574,-87.553071044564,-38.813058634172855,466.35866031706325,0.9142811209047045
131,2022-02-25 18:39:30.548387072,131.51655398475356,3.8867295191635725,0.03241777195098423,334.918842993297,492.4639106507471,0.008601904583975736,157.54506765745006,663.6611919677505,0.062282364650226775,2.477042307453369,2.477042307453369,3.862663444477966,995.7812173597374,638.5480697430671,0.28965268420978324,47.50959172221236,334.918842993297,-46.530844953563744,-37.102632859282224,476.5689105644886,0.7045913297951389
132,2022-02-25 18:59:11.000000000,132.5048423182666,3.534653829392704,0.03059740360667644,295.3609847912303,423.5068992403296,0.008911498789116254,128.14591444909928,669.7430405085183,0.062401574836515955,2.5539618329306686,2.5539618329306686,3.8705583652331166,993.9916547699734,655.884309977496,-77.6033160583855,10.598016699195004,295.3609847912303,4.9962702632835505,-15.793331087979682,481.2897475041108,0.6137383023804625
133,2022-02-25 19:19:00.032258048,133.49643282398944,4.157052460474634,0.03848459421402243,340.2551827915096,495.114495231113,0.009576130199329626,154.85931243960343,654.2015910659671,0.06253361252570402,2.4405481763464625,2.4405481763464625,4.269075306282164,1091.7180616074984,624.10605089485,-39.830678982427195,63.34532064142085,340.2551827915096,-25.90541779031265,-50.32676747223223,448.6927378089949,0.7592191852169016
134,2022-02-25 19:38:44.642857216,134.48001918988695,3.8663072368123808,0.039284304631295466,373.0549847224799,528.2274229854669,0.010625668806736084,155.17243826298701,644.0513197857405,0.06267689646534916,2.3926828212508933,2.3926828212508933,4.439061387348515,1129.9729802199852,609.0780970106044,-103.99745193912513,65.15856792620438,373.0549847224799,-4.832225781973563,-58.24891323843537,434.16897370377484,0.8600851413477246
135,2022-02-25 19:59:17.200000000,135.49842851424464,4.592022292748066,0.0449478578154954,381.3006864004329,528.321300436508,0.011754249091964245,147.02061403607505,643.036333671096,0.0628383585461779,2.4339249271949868,2.4339249271949868,4.3713279618053935,1107.0554354315443,616.3779970847785,31.59402401412436,-23.582275229739132,381.3006864004329,-74.65457063957575,13.029159054000864,437.8764913882056,0.8713681278756897
136,2022-02-25 20:19:37.000000000,136.50080871984073,4.622406958129049,0.04491015815594012,341.1537150741178,464.24786039813716,0.009733493210730521,123.09414532401942,657.3546995614809,0.06301042948756633,2.5826025718354098,2.5826025718354098,4.1954411091937835,1056.7143314295683,650.4775941751479,-9.683702022086067,27.453228507966084,341.1537150741178,-38.796260729091564,-20.45463860361931,458.1551642355112,0.744768023947776
137,2022-02-25 20:40:12.000000000,137.5097939429953,4.070208988087073,0.0374897222786587,324.06375012987013,439.2582385748106,0.00926600107760969,115.19448844494048,657.2695675584887,0.06319689891676532,2.56977961531523,2.56977961531523,4.043814685855423,1012.5523189804658,643.4282182590754,-77.13280142808955,42.08603825911135,324.06375012987013,-1.4901947023403679,-37.16807310463136,468.06416231637246,0.6925649254713478
138,2022-02-25 21:00:28.000000000,138.49698260255775,3.917002778325741,0.03212177686270008,315.25515059117964,438.34626952651513,0.008412791663848286,123.0911189353355,652.3938559030858,0.06339247209919116,2.552029090320194,2.552029090320194,3.8391063064305744,955.3721202687057,635.057799637441,-42.31158145481603,41.37680735313136,315.25515059117964,-27.851684745371685,-33.70796452755411,478.2826946364059,0.6593061196574586
139,2022-02-25 21:20:44.000000000,139.4775487625468,3.611713712946642,0.02406055553951657,312.14106622903137,443.1540641166126,0.0070360468971034,131.01299788758118,649.6028772243227,0.06359974646045712,2.521272721916373,2.521272721916373,3.633694303014653,898.3387576005462,623.3449735731638,-49.020018530333076,62.30410240686365,312.14106622903137,-32.18046241486134,-52.748398311402326,491.0249860629715,0.6358717689896676
140,2022-02-25 21:41:57.000000000,140.49655817301553,3.5779438915875805,0.021775374089309584,300.1314128118851,424.9088588724911,0.006312613978864457,124.79747661157026,646.6881428237427,0.06382911564241833,2.567923407145662,2.567923407145662,3.558433579145873,873.4312259210421,630.2873154692933,-52.41106448053127,5.6146423785020945,300.1314128118851,-31.23940796371986,-10.828611788300012,495.76830687346,0.6055227783471082
141,2022-02-25 22:02:51.000000000,141.49253604608606,3.4678143401861234,0.01945163431635582,293.1730478755083,407.9257600065591,0.0056897562990972424,114.75271213105076,642.9717968723613,0.06406720665942718,2.569259733550611,2.569259733550611,3.5354599193697096,861.3285154730269,625.9446107758268,-90.77400547626654,20.87119412576115,293.1730478755083,-5.319925486710482,-30.893540434589397,496.38675188076206,0.5907797531472289
142,2022-02-25 22:24:04.000000000,142.49524395538134,3.4896994473597096,0.01606697567014609,270.02696325502933,394.2603043258212,0.004710920736444501,124.23334107079194,641.8348896678841,0.06432109816572959,2.6014545521502845,2.6014545521502845,3.2628766257183717,788.7707043653746,628.7849658535098,-13.249281968061707,22.6876604111535,270.02696325502933,-43.66962903767952,-29.138947348728674,518.6263818772546,0.5224946419162386
143,2022-02-25 22:45:44.142856960,143.5102209097515,2.951593293608145,0.011569413785005244,250.17354927798394,342.87826991728514,0.004279929604274037,93.02260643552874,642.8755077776513,0.06459285653712851,2.608981692262856,2.608981692262856,3.137496077766269,751.9645669035798,625.2956853448513,-100.28992444154714,-5.171585316425096,250.17354927798394,10.731810205785406,-16.12938814330334,531.3834639708563,0.47108113852159
144,2022-02-25 23:07:08.000000000,144.50335809852538,4.1879261461083805,0.022852020144867785,278.9418722669977,387.74445091291057,0.005378896039613173,108.87299191303794,629.406412572909,0.06487321249750536,2.5857407671254515,2.5857407671254515,3.9041799509195876,927.582202492079,614.4085688249169,-52.34574450658884,8.977127894639128,278.9418722669977,-17.326487325357526,-7.923766029719888,468.78722397104013,0.5968261449689366
145,2022-02-25 23:28:59.000000000,145.507436904278,4.34191156815732,0.0336370652190455,369.9246501422387,524.7988268893012,0.00805334076907796,154.87417674706245,607.3999316961664,0.0651717693175635,2.314802871292866,2.314802871292866,4.3041192470941825,1013.3293846845381,545.0972499019771,21.33518341833422,16.309800556991856,369.9246501422387,-77.83999760652468,-6.313552026687075,432.4133180632841,0.8579108599705633
